Time_to_Town,Distance_to_MainRD,Land_Size(perches),Num_Stories,Floor_area,Num_Beds,Num_Baths,Parking_space,Price,Time_to_Townnan,Distance_to_MainRDnan,Age_Ordinal,Spl_Arch_Design_Ordinal,Garden_size_Ordinal,Located_City_athurugiriya,Located_City_boralesgamuwa,Located_City_dehiwala,Located_City_kottawa,Located_City_kotte,Located_City_malabe,Located_City_moratuwa,Located_City_nugegoda,Located_City_piliyandala,Located_City_thalawathugoda,Complete_stage_Incomplete,Decorations_NoDecorations,Ava_Religious_yes,Ava_Schools_yes,Ava_Hospitals_yes,Ava_Supermarket_yes,Ava_Water_yes,Ava_Electricity_yes,AC/NONAC_yes,Furniture_yes
1.609437912,1.609437912,3.540959324,1,8.188689124,6,4,10,18.31198133,0,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0
1.945910149,5.703782475,1.85629799,2,7.467371067,3,2,2,16.6890752,0,0,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0
1.791759469,5.991464547,2.803360381,2,7.824046011,4,3,2,17.0736071,0,0,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
1.791759469,7.60090246,2.48490665,1,7.673223121,3,3,2,16.78592502,0,0,4,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
2.302585093,5.857933154,2.014903021,2,7.955775782,4,4,2,17.16541465,0,0,4,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0
1.609437912,7.279318835,1.945910149,2,8.242756346,4,4,2,17.62217305,0,0,4,3,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0
1.609437912,5.298317367,2.302585093,2,8.070906089,4,4,4,18.42068074,0,0,3,3,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1.609437912,5.010635294,2.827313622,2,8.433811582,3,2,2,18.02911854,0,0,1,2,3,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0
2.302585093,6.907755279,1.871802177,2,7.467371067,4,4,2,16.92902587,0,0,3,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0
1.386294361,5.298317367,2.302585093,2,7.740664402,5,3,1,17.86729551,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0
1.609437912,5.298317367,2.140066163,1,7.340835554,3,3,1,16.55635058,0,0,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0
